notaword | No sentence found.
edificio | Los edificios que ardían cerca de la muralla de la ronda Interior iluminaban la noche.
fondo | Arrojo, Nervioso y yo hicimos un pozo hasta el fondo de la zanja.
maestro | Maga peligrosa, maestra de la senda D’riss.
cabalgar | —No está tan mal si guiñas mucho los ojos —comentó el hombre que cabalgaba detrás.
futuro | Debería golpear ya, pero no puedo olvidar lo que aguarda en el futuro.
evitar | He de observar a estas gentes para saber qué debo evitar en el futuro.
ruina | Los edificios cercanos ardían en ruinas.
costa | La mañana siguiente vio una costa de ruinas.
derecho | Se esforzaba por regresar a las ruinas, pero era incapaz de caminar derecho.
recorrer | Ereko se irguió en toda su altura y recorrió la costa con los ojos.
resistir | —¡Resistid! —bramaba el sargento mayor a la derecha de Noche—.
patio | Las sombras dispersas del patio en ruinas parecieron parpadear y cambiar.
soslayar | Arrojo se limitó a mirar de soslayo el lugar donde Ameron había arrojado su equipo.
humeante | Todos y cada uno de vosotros, preparad una saquita con fulleros, humeantes y demás, cuanto tengamos.
contigo | Pero sé que él siempre estará contigo, pase lo que pase.
adónde | —¿Y tú, adónde vas? La hermandad no hablará contigo.
mellizo | ¿Adónde vais? ¿Qué estáis haciendo aquí fuera? Por el giro de los Mellizos, hombre.
brujo | Ho le dedicó a la vieja bruja un guiño cuando los mellizos la ayudaron a irse.
calmar | Los mellizos permanecieron sentados en silencio, dejando que la tormenta se calmara sola.
convencer | Mallick esperó hasta convencerse de que la vieja bruja se había ido.
unidad | Era obvio que veían que era su única oportunidad para romper las unidades imperiales.
misterio | —¿Mallick? ¿Ha dejado Unta? —Desechó el misterio con una sacudida de la cabeza—.
sonar | —¡Comandante! —chilló, o a él le pareció que había gritado, sonaba muy lejana.
pensamiento | Zarigüeya se sonó una vez más y desechó a Anillo de sus pensamientos.
ve | —Eso es algo que no se ve todos los días —oyó Kyle que jadeaba el hombrecito.
parte | Ves enemigos por todas partes.
espiar | Los espías que has puesto por todas partes nos informan a nosotros también.
invocar | El espía se calmó e invocó su senda.
magia | Despellejador ha invocado magia ritual y los imperiales han respondido.
mitad | cómo iban a hacerlo si no podías usarlas la mitad del tiempo
jurar | La mitad de los hombres que he matado se habían jurado a Togg, igual que yo.
talento | Claro que no recuerdo que ningún talento terminara ahí arriba.
guardar | —Las gruesas manos del talento temblaban cuando guardó las cartas.
asediar | Suficiente para muchas torres de asedio.
manera | No, la mejor manera de aliviar el asedio sería tomar el campo de batalla.
banda | Enviad recado a las bandas de guerra.
aliado | Incluso teníamos aliados barghastianos nosotros también, esos chicos luchan contra cualquiera, en cualquier parte.
desdar | El desdén de la niña era absoluto.
despacio | Sacaron espadas y empezaron a separarse muy despacio para rodear a los dos.
sorpresa | Aron se permitió alzar las cejas como si dudara en la sorpresa.
herir | —¡Es un navío seguleh! ¡Sí, eso es! Soltad las armas y nadie saldrá herido.
asesino | El mago supremo y maestro de asesinos de la Guardia contempló a Joroba en silencio.
arquear | Magra se volvió con una ceja arqueada hacia Kyle y los de la primera fila.
transmitir | Era como si estuvieran transmitiendo información y recibiendo órdenes del niño.
preocupación | Tus preocupaciones se transmitirán, fue la lejana respuesta.
dorar | La ceja sobre un ojo dorado se arqueó.
organizar | El teniente se dispuso a organizarlo junto con el sargento Acorde.
dama | Supongo que es todo lo que podemos organizarle a la dama.
sondear | La dama extendió sus sentidos para sondear aquella extraña presencia extranjera.
percibir | Percibió la presencia de Humo a su lado, sondeando, pero el mago se encogió de hombros.
interrumpir | —¿Qué perciben? —interrumpió el hombre de las túnicas.
espolear | Rillish maldijo y luchó por espolear a su sudoroso caballo.
rienda | Saludó al hombre con un asentimiento brusco, ladeó las riendas y espoleó su montura.
ajustar | Kyle la había ajustado metiéndole un trapo por dentro.
arenar | Kyle se ajustó el cinturón con su propio talwar y saltó a la arena húmeda.
barbar | —Pues no tiene muy buen aspecto —dijo Fochas mientras se limpiaba la arena de la barba.
destellar | —Esos malditos árboles se llevaron mi pierna —dijo, los dientes destellaban tras la barba.
precipitar | Unos fucilazos altos parpadeaban y se precipitaban por los cielos, saltando y destellando sin ruido.
captar | Eran sonrisas lo que había captado en los rostros de sus soldados
popa | En la popa captó la atención de Acecho, que lo llamó con la mano.
allá | Viajero miró más allá del joven, a la popa donde vigilaba Ereko.
desafiar | ¡Allá vamos! Los puñeteros magos juramentados llegaban para responder al desafío.
pared | Había un guardia sentado, apoyado contra una pared más allá de Joroba.
desnudar | La mujer echó un vistazo a las paredes desnudas.
plegar | La sonrisa se plegó en una mueca de desafío burlón.
manto | Kyle se sentó cerca de la popa y se envolvió en su manto.
palmar | Dulce Muchacho dio una palmada al barghastiano en la espalda con manto de bhederin.
muslo | Liss dejó escapar una carcajada ronca y se dio una palmada en un muslo ancho.
atravesar | Avanzó a pesar de un cuadrillo que le atravesó un muslo entero.
defensar | ¡Intentadlo todo lo que queráis, juramentados! Nadie atravesó jamás la defensa de la espada, su escolta.
conmigo | —Tengo cuatro mil regulares malazanos conmigo, puño.
discutir | —Discutirás el asunto conmigo.
pausar | Una pausa mientras los oficiales del estado mayor discutían.
camisa | Mientras se quitaba la camisa, Ghelel hizo una pausa.
vestir | Kyle se vistió con la camisa del gambesón.
color | Un pequeñajo vestido con colores oscuros estaba arrodillado sobre Risueño y ella.
azul | De hecho, la caballería vestía de color azul oscuro, los viejos colores talianos.
combatir | Y allí por donde marchaban sus ejércitos encontraban las filas de los guardias combatiéndolos.
eterno | Combate eterno que duraría hasta que el Imperio cayese.
bufido | —Entonces… —Con un bufido, el marqués tiró la tela en la mesa—.
error | Y después de un tiempo te das cuenta de que has cometido un error.
seguridad | —Puedes tener la seguridad de que, en tu caso, no cometo semejante error.
catarata | Se parecía a una enorme catarata que surgía en el aire vacío.
legua | Hizo retroceder la noche en media legua a la redonda.
deshacer | Nadie se acercará a menos de cien leguas de nosotros hasta que podamos deshacernos de él.
rumbo | Noche los guió de regreso, rumbo al flanco de las tropas de Diente Bravo.
aquél | Quizá debería limitarse a seguir caminando rumbo al sur, alejarse de todo aquello.
andar | Trémula se dio la vuelta y echó a andar.
círculo | —¡Juro que nos está haciendo andar en círculos! —dijo después, en voz más alta.
bruma | Un encogimiento de hombros del gigante, que no apartaba los ojos de la bruma.
crecer | La bruma pesada fue creciendo y cubrió el patio.
provocar | La lluvia siseó y provocó una bruma en la hoja.
empujón | —Entonces ponedlos a disparar, ¡disparad! ¡Ahora! —Los apartó a los dos de un empujón.
remo | Olo preparó los remos y se apartó con un empujón del muelle.
usted | —Ustedes, los quontalianos, parecen tener miedo de todo.
derramar | Están ustedes derramando su sangre en defensa de nuestra tierra.
tapar | Quedó tendido con los brazos tapándole la cabeza, gritando sin palabras y rogando que terminara.
bastón | La madera del bastón crujió en las manos de Yath.
orar | Empujó el sol de oro.
moneda | —Asunto mío, ¿no le parece? —Y el tipo sacó una moneda de oro.
preciar | —Dejamos un precio justo en monedas y cogimos los peores de la manada.
menudo | Menudo precio que alcanzaría semejante hombre de armas
abertura | Una figura menuda se deslizó por la abertura y Ghelel se la quedó mirando.
plantar | Encontraron una abertura que llevaba a una planta baja vacía y unas escaleras que subían.
renegar | Ese renegado, Melena Gris, no parece muy convencido.
aguas | El renegado había fruncido el ceño, su mirada pálida se había clavado en las aguas.
salar | Parpadeó ante el brillo de la sala.
probar | El mar más salado que he probado jamás.
concentrar | Muy pronto los irregulares serían libres de concentrar el fuego una vez más.
tranquilizar | ¡Concéntrate! Intentó centrarse, tranquilizarse.
patada | Vendrán y lo derribarán de una patada.
sandalia | Todo el mundo lo siguió, quitándose a patadas el barro de las sandalias y las botas.
aterrar | Las ratas chillaban, aterradas, en el agua, y los hombres maldecían y las apartaban a patadas.
agrietado | La piel de todos está en carne viva, agrietada y sangrando de frotarla tantas veces.
quemar | Todos los de piel clara se habían quemado y tenían la piel agrietada y sangrando.
agudo | Un estallido de carcajadas agudas.
chillido | —Se están largando —exclamó Nervioso, su voz se hizo más aguda, casi como un chillido.
penar | —Diría que es una pena, porque es todo lo retorcida que hace falta.
merecer | Pues claro que sospechábamos que había algo aquí arriba que merecía la pena.
isla | Pero está funcionando, eso y haber dejado las islas muy atrás.
hija | Hija de la propia Vorcan Raddock, la mejor asesina de esa ciudad.
obligar | Luchó por obligarse a seguir a las dos figuras que se alejaban.
t | —No llevaban tales escudos cuando los obligamos a meterse ahí, T’enet.
ojalá | —Me hace pensar que ojalá la bestia cruzara el Idryn —dijo Razala entre dientes.
direccionar | En qué extrañas direcciones vuelan los pensamientos de este hombre.
raro | Se dicen cosas raras cuando la vida huye.
necesario | Necesita los fondos necesarios para hacerlo.
firmar | Y será necesaria una mano firme para detenerlos…
principiar | Rápido al principio y después más despacio, fue dando golpecitos hasta que chocó contra algo firme.
campaña | En todos los años de campañas que llevaban juntos, todavía tenía que verle un solo corte.
leyenda | Leyendas vivas de la campaña de Siete Ciudades.
realidad | —Hay leyendas, pero nadie ha visto en realidad…
humor | Ereko yació despierto, escuchando la noche y percibiendo el humor de esa nueva tierra.
galera | Barras examinó las cubiertas de la galera de guerra, pero no vio movimiento alguno, aunque cedió.
áspero | —Juega a un juego muy peligroso, Ameron —consiguió decir, tenía la voz áspera, ronca.
playo | Bajo las sandalias de Kyle, la playa se agitó y revolvió.
perplejo | Perplejo, Ereko acompañó a Viajero y al anciano cuando recorrieron la playa.
importante | Lo importante es que si la aceptan, la defenderán.
confiar | —Confío en no haberme perdido nada importante.
descansar | —Confío en que hayáis dormido bien y estéis descansados.
representante | Sus representantes están abiertos a la posibilidad.
matanza | La matanza se extendía casi una legua en todas direcciones.
puto | Cierra la puta boca del abismo.
dibujar | —¡Juramentados! —chilló Trémula al tiempo que alzaba los brazos y dibujaba un círculo completo—.
rozar | Cuando sus pies rozaron piedras talladas, se detuvo.
lona | Pondremos una de las lonas que sobran o unas mantas.
grueso | La gruesa lona siseó y se rozó.
apagar | Cuando el grueso del ganado pasó, el ruido se apagó.
cuerda | Disparaban cuerdas de llamas que no tardaba en apagar Seda.
enseñar | —¡Lo reconoces! Me enseñó mi padre.
velocidad | El bote perdió velocidad.
preboste | —Créame, preboste, no es eso lo que desea.
presentar | —Permíteme presentarte a la preboste Alil, una nueva oficial.
salivar | Tragó saliva para hablar y dijo con voz áspera:
sudor | Jemain se limpió el sudor frío de la cara y tragó saliva.
remar | Olo cogió entonces los remos y remó como si le fuera la vida en ello.
ahogar | Una ola podría ahogarnos antes, en cualquier momento.
apagado | Una pausa de silencio y luego las botas se retiraron, voces lejanas y apagadas.
antorcha | El sargento dirigió la atención de Arrojo a una antorcha que había cerca, casi apagada.
contrario | Las antorchas de la guardia iluminaban la orilla contraria de Idryn.
arrugado | —¡Arrugada! —Una sombra que permanecía contra la pared contraria se adelantó y se alzó—.
ensangrentar | Magra se giró otra vez, las cejas ensangrentadas arrugadas.
mejilla | Recuperó el aliento, se tocó la mejilla y sacó la mano ensangrentada.
gesto | Las mandíbulas de Ryllandaras se movían, las garras de las manos ensangrentadas hacían gestos.
rígido | Una figura con armadura desmontó despacio, con gestos rígidos.
bienvenido | Pero ¿qué hay de ti? ¿Estás seguro de que no quieres venir? Eres muy bienvenido.
lograr | —Ojalá tuviéramos más hombres para lograrla.
necio | ¡Necia! ¿Qué lograste con eso? Solo conseguirás romperte los huesos del pie.
horrorizar | —¡Necio! ¡Eres un juramentado! ¡Nunca morirás! —El hombre parecía horrorizado de verdad.
valor | Pero para envainarla debería detenerse y tampoco tenía valor para tirarla.
carraspear | Ghelel se armó de valor y carraspeó.
ventana | Se le ocurrió que aquel sitio no tenía ni una sola ventana.
primera | Una ventana abierta dejaba entrar la luz de primeras horas y el aire.
postura | El muchacho cambió de postura, se estiró y despertó con un parpadeo bajo las primeras luces.
barrera | Su chillido se interrumpió en seco cuando cruzó la barrera.
llamada | Un ritual de algún tipo, una llamada ancestral.
puño | Los puños de Kyle apretaron la camisa.
hondo | Korbolo abrió los puños y se obligó a respirar hondo.
costado | Los guanteletes se convirtieron en puños a los costados.
aferrar | Todos los demás estaban sentados o se aferraban a las cuerdas o a los costados.
empuñadura | Dolor retrocedió de un salto y aferró la empuñadura de una espada.
animar | Con los ojos en el sargento mayor, que le guiñó un ojo para animarlo, Noche carraspeó.
hinchar | —El monito se animó, hinchó el pecho y se fue con paso decidido.
atraer | Los gruñidos, los golpes y el resonar del hierro los atrajo.
entornar | que parecieron no notar la atención de su señora mientras examinaban el entorno
destinar | —El comandante V’thell pide una vez más que se le informe de nuestro destino.
importancia | Una muestra para nuestros nuevos amigos destinada a convencerlos de la importancia de nuestro trabajo.
expresar | D’Ebbin hizo un pequeño ademán para expresar que no tenía tanta importancia.
curva | Como uno solo, los dorados sacaron sus pesadas hojas curvas y avanzaron.
arañar | Empezó a arañar la hoja curva.
velero | Cuando la proa arañó la arena, Viajero saltó entre las olas para sujetar el velero.
cargar | Están aquí para ayudar a cargar vuestro velero.
desplegar | ¡Cargad las ballestas! ¡Desplegaos! —Manos indicó que retrocedían.
vivir | Aquí, en las llanuras, si deseas vivir, harás lo que yo diga…
difícil | Joder, qué nombre tan difícil.
sirviente | —Verás que soy mucho más difícil de matar que mis sirvientes.
asamblea | El representante de la Asamblea tendió la tela y un sirviente la cogió.
diez | Tras haber disparado, los diez se arrodillaron y se irguió una segunda fila.
imbécil | Y daba igual que ella trabajara diez veces mejor que los imbéciles de sus hermanos.
plan | Claro que, todos habían sonreído como imbéciles cuando Acecho le había contado el plan a Zanja.
viajar | Según nuestro plan, os escabulliréis y dejaréis atrás todo eso durante el viaje por el río.
apresurar | —Diles que si apresuran nuestro viaje, recibirán lo que pidan.
túnel | La bruja wickana iba abriéndose camino con el bastón por el túnel irregular.
hijo | —¿Cuántas veces tengo que decirte que no hagas eso, hijo? Te va a sentar mal.
distante | —¡Bienvenido, Topper! —oyó Lurin que exclamaba el espíritu, la voz distante.
sobresaltar | Ho se sobresaltó, conmocionado.
suavidad | Con suavidad, Denuth giró al ser y solo para sobresaltarse, asombrado.
descender | Más adelante, el terreno descendía con suavidad.
gordo | Los labios del gordo se plegaron y, pensativo, bajó la mirada.
superficie | Muchos señalaban cuando los jinetes salían a la superficie en el estrecho, muy lejos.
acaso | Pero, ¿y Viajero? ¿Acaso no estaba por encima de tales preocupaciones? Era obvio que no.
lerdo | —Vigilaremos de cerca —lo tranquilizó Lerdo—.
timón | El juramentado respiró hondo y él y Lerdo dejaron el timón en manos de Devaleth.
poderoso | Un espía con aliados poderosos.
opinión | —En mi opinión, simples espíritus poderosos.
despedir | Dolor parecía a punto de decir algo, pero luego cambió de opinión y despidió a Ho.
oficiar | —La verdad es que los chicos y yo nunca estuvimos hechos para este oficio de mercenarios.
cintura | Seguía teniendo los brazos gruesos, la cintura pesada.
colocar | La mujer dalhonesia se inclinó y se colocó bien las túnicas.
perseguir | ¡Cómo se persiguen siempre! Sombra está presente, creciendo con el tiempo.
relajar | —Relájate, traeremos un sanador.
partida | Estoy seguro de que su intención es regresar de inmediato con su partida de exploradores.
arriesgar | Viajar allí es arriesgarte a meterte sin querer en otro reino.
preferir | —Yo prefería arriesgarme con esto antes que con Caos, sí.
aterrador | Que ella había cometido un error aterrador que la perseguiría durante el resto de su vida.
chapotear | Un chapoteo seguido por un jadeo agudo y después un silencio largo y aterrador.
abalanzar | Los dos kanesianos que tenía enfrente y las filas de detrás rugieron y se abalanzaron.
digno | Al final alguien digno de su atención cometería un error y entonces él se abalanzaría.
cimar | Topper se abalanzó y se aferró a la cima del muro de piedra.
irritación | Estaba ahogando una carcajada, tuvo que reconocer Mallick con un extraño destello de irritación.
beber | Pero el hombre seguía sin levantar la cabeza, no quería beber y mucho menos comer.
portavoz | —Usted no, portavoz de la Asamblea.
desperdiciar | Yo diría que los malazanos desperdiciasteis de forma necia vuestro talento.
triste | Un triste desperdicio, la verdad.
cara | —Estudió las caras de su pelotón mientras se abrían camino entre la hierba fría y húmeda.
agarrar | Risueño la agarró por el hombro y tiró de ella hacia el borde de las cajas.
ropa | Lo agarró por el cuello de la ropa y lo arrastró ladera abajo.
cuál | ¿Cuál era el problema? La lluvia le golpeaba los hombros.
clavado | El sargento se quedó muy quieto, con los ojos clavados en el portavoz.
despejar | Yació allí, con los ojos clavados en el cielo despejado de un color azul brillante.
asegurar | Creo que se aseguró un puesto como puta de un oficial.
éxito | Pregúntale a nuestra amiga korelana; con su ayuda, el éxito está asegurado.
consejo | y le estaba pidiendo consejo el hombre más poderoso del Imperio
aspirar | El hombre aspiró una profunda bocanada de aire, como si buscara por dónde empezar.
decisión | Mi oficio… Ahora se enfrenta a una decisión importante.
calma | Al acercarse al anillo notó la calma; al parecer por fin se habían tomado decisiones.
espadachín | —Has hecho todo lo que podríamos haber esperado y más —le dijo al espadachín.
chaleco | En el túnel, Ho hizo una pausa y se puso el chaleco y las sandalias.
doler | Shell se estiró el chaleco y su rostro arrugado se crispó como si le doliera algo.
esperanzar | ¿Y qué? ¿Qué podemos hacer? Quizá solo tengan la esperanza de que nosotros sepamos adónde vamos.
explosión | La explosión del cierre resonó en la línea de árboles.
producir | y a cuántas leguas de distancia se habrá producido la explosión
pipar | Corlo se sacó la pipa de la boca.
cuadrar | A no ser que apareciera Tayschrenn, ella confiaba en el cuadro de magos de la Guardia.
pregunta | Fue obvio que a la mujer se le ocurrieron más preguntas, pero se las guardó.
plantear | ¿Qué haría? ¿Adónde iría? Había pasado demasiado tiempo sin tener que plantearse siquiera esas preguntas.
paralizar | Se estaba planteando regresar a la trinchera cuando se quedó paralizado.
montar | El hombre observó al moranthiano dorado cuando volvió a montar.
barricada | Ordenó que se montaran barricadas.
aceitar | —Huelo a aceite —exclamó un soldado desde la barricada—.
demonio | —No es ningún demonio —anunció en voz muy alta el sargento mayor Temp a la multitud.
fundir | Un demonio, los retorcidos miembros y las manos (llenas de garras) casi fundidos.
abrazar | —El hombre-chacal sigue vivo, Arrojo —dijo, sin dejar de abrazarse—.
temer | Ghelel se abrazó incluso más, como si temiera lo que podría pasar si se soltaba.
demostrar | —Esperaba demostrarle que no temíamos viajar solos.
siglo | Había pasado más de medio siglo desde la última vez que Trémula había visto Unta.
horrorizado | Sacudió la cabeza, horrorizada por la visión de siglos de matanzas.
cadena | —Pon a todo el mundo a trabajar preparando las cadenas.
techar | Una cadena de hierro negro descendía de la oscuridad del techo y continuaba pozo abajo.
galopar | La columna tomó velocidad y se perdió al galope en la más absoluta oscuridad.
entrelazar | Entrelazó las manos sobre el amplio estómago, después bajó la vista, como si se las estudiase.
falange | Las falanges de los flancos también avanzaron para cubrirlos.
recluta | Los nuevos reclutas, me imagino que los tendrán formando falanges en los flancos.
ligar | A media distancia surgió un gran grito desde la falange de la Liga, al norte.
provisionar | El equipo y las provisiones se movieron y rodaron.
saquear | Nervioso y Arrojo saquearon las provisiones de Risueño, que se retorcía, gruñía e intentaba recuperarlo todo.
quien | Es a él a quien estás desafiando.
continente | Ha partido el continente por la mitad, sea quien sea.
ciento | Lo que a Ghelel le parecieron varios cientos de hombres y caballos descansaban allí.
leer | —Pruebe con el oficial de guardia, el capitán Leen.
reluciente | Los ojos oscuros de los guerreros se habían clavado, relucientes, en el velero más alejado.
estrella | Las estrellas brillaban, relucientes y duras.
estrategia | —¿Nuestra estrategia de defensa? Una muy rara.
alegrar | Pero deberíais alegraros por lo que habéis logrado
murmullo | Un murmullo general se hinchó entre las tropas.
jabalí | Salvaje, o Jabalí, se dirigía en ese momento con paso decidido hacia el caballo de Musgo.
trozo | Cayó entre un estrépito de trozos cuando la presencia que lo animaba se retiró.
sucio | Se derramó buena parte por la barba y las túnicas sucias.
vuelto | Su guía, el tipo de la túnica sucia, había vuelto.
verde | Los tres se asomaron a las olas revueltas, sucias y verdes—.
desdibujar | El entorno se desdibujó, convertido en una mancha verde.
título | Veo que es posible que seas, de hecho, digno del título de mago supremo.
carecer | —Esos títulos carecen de significado.
tuyo | Nuestras informaciones nos indican que Laseen carece de caballería para enfrentarse a la tuya.
asco | Con un gruñido de desdén y asco, Arrojo se levantó de un tirón—.
blandir | Arrojo siseó de asco cuando, para apoyarse, no pudo evitar tocar las paredes blandas y húmedas.
ondular | Blandió su bastón y un muro de poder ondulado atravesó la cubierta.
calor | —¡Tú mismo! —rezongó Risueño y retrocedió protegiéndose la cara del calor.
imposible | —Así que desplegarse hacia el sur es imposible.
danzante | Kellanved y Danzante habían hecho asesinar a los últimos cuando tomaron Tali.
pagar | —¡Vete! Danzante ha acabado con demasiados de nuestros magos, aunque Cogulla se lo hizo pagar caro.
lamentar | Y voy a enseñarle a lamentarlo.
aprender | El hombre iba aprendiendo poco a poco cuál era su lugar, decidió Genist.
pescar | Limpió el pescado como pudo, lo colocó sobre las llamas y se sentó a esperar.
rendir | —Pero ¿qué te pasa, Barras? No pienso rendir sin más…
entregar | Y ahora ríndete y entrégame el mando de este barco, nadie más tiene que salir herido.
mensaje | Y a entregar un mensaje.
pizarra | —Esta nueva presencia se llama la Casa de Cadenas —continuó Pizarra—.
desviar | Carraspeó y atrajo su atención, que se desvió de la noche.
cobrar | Desviar los ataques estaba cobrándose todas sus fuerzas.
denso | Las nubes densas y revueltas parecieron retirarse como si cobraran fuerzas para un último ataque.
vislumbrar | A veces creía vislumbrar figuras que se movían por el denso bosque que lo rodeaba.
luna | Quizá la dama me tiré así una luna de cobre.
repentino | Entre las hierbas cobraron vida fuegos repentinos.
marear | El calor le provocó un sudor repentino, también un mareo.
atrapado | Figuras distantes se retorcían, atrapadas en el estallido repentino.
rastrar | El teniente imperial se rozó un rastro de sangre del corte de una mejilla.
rabioso | Quizá los magos vivos más peligrosos del continente, y rabiosos, puñeteramente furiosos, le parecía a él.
repetir | —Que los dioses lo maldigan —no dejaba de repetir—.
retirada | —Retirada lenta, teniente —repitió Toc—.
aguantar | Todo el mundo aguanta para cubrir la retirada.
horizonte | Un puñado aparecía y desaparecía en la oscuridad del horizonte sobre…
estrellar | De regreso con él, mientras examinaba el horizonte estrellado del mar, la mujer le respondió.
rabiar | Las provisiones se estrellaron contra los hermanos, que rugieron de rabia.
puro | Un destello de rabia pura, contenida.
raza | —Digo bien porque aquí todos descendemos de pura raza de la Guardia Carmesí.
inútil | Una raza antigua de esta tierra, un resto inútil de un pasado triste.
venganza | Ya se ha derramado bastante sangre en esta inútil venganza.
entero | Y así continuaba durante días enteros hasta que la tormenta se calmaba.
superar | El tal Dolor (¡qué nombres tan ridículos llegaban a ponerse!) parecía superar en rango a su compañero.
número | Yo diría que nos superan en número.
emperatriz | Al emperador casi siempre lo superaban en número.
ofender | Nada se estremeció, ofendido, y tensó las riendas.
ejemplo | Por ejemplo, largarse corriendo toda ofendida sin pensar bien las cosas.
añadir | —Sargentos —añadió Hojalatero—, que vuestros hombres sigan su ejemplo.
masar | —En masa —añadió Malas Tierras.
aullar | Aullando de rabia, Ameron cargó contra la bestia.
capa | Korbolo se irguió y se ajustó las capas de mantos para defenderse de la lluvia.
salpicar | No muy seguro, levantó la barbilla y señaló las olas salpicadas de hielo.
energía | Penas respondió abriendo su senda y la energía se desvió y salpicó como agua.
nudo | A mí me parece que ayuda a deshacer los nudos.
asombrar | El asombro hizo un nudo en la garganta de Kyle.
común | Como puede ver, nos enfrentamos a un enemigo común.
tronar | El trueno se estrelló y fue perdiendo fuerza por las leguas de llanuras que los rodeaban.
agazapar | El pelotón de Noche se agazapó hasta que la caballería pasó como un trueno, después continuaron.
frontero | Todo el mundo susurraba porque estaban agazapados en la frontera de Oscuridad.
centinela | —Hábleme de esos Centinelas de la Frontera.
animal | Mírate, agazapado en el barro como un animal.
casco | La tienda tembló con el tronar de los cascos.
soportar | qué animal podría soportar semejante caos
borroso | Unas formas borrosas se agazapaban entre el techo de nubes.
solver | Lo percibimos muchos de nosotros, trozos sueltos, vistazos, ahora que estamos lejos de las islas.
atar | A veces le ato cabos sueltos.
u | —Todos atan unos cabos u otros, son así en esa unidad.
escalofriar | Arrojo se quedó muy quieta, esforzándose por escuchar, y un escalofrío le recorrió los brazos.
totalmente | La visión provocó un escalofrío en Ullen, que se los quedó mirando, totalmente horrorizado.
olear | Una segunda oleada entró en combate, agachándose, sondeando.
arrojado | Estallidos cercanos de una oleada de municiones arrojadas disparó polvo y tierra sobre todo el mundo.
roca | Unas rocas arrojadas resonaron desde el arco y Arrojo se agachó.
risco | La observaron retroceder hasta que trepó por un risco de rocas caídas y desapareció.
interponer | —Se interpusieron entre mi venganza y yo.
agradecer | Pero si pudiera movernos un poquito, sin embargo, lo agradeceríamos.
ligero | La mujer agradeció el gesto con un ligero asentimiento.
placer | —Un placer ver… —dijo el que vestía los cueros ligeros de un soldado.
cojear | Armado, empezó a cojear hacia los restos—.
malo | De mala gana, cojeando, el hombre abandonó el muelle.
utilizar | Lerdo le tendió una manta, que el otro cogió con malos modos y utilizó para envolverse.
admitir | El capitán tuvo que admitirlo de mala gana.
curiosidad | Admito que yo también siento no poca curiosidad.
barrer | Este se hundió, de mala gana, en las hierbas barridas por el viento.
mapa | Varias de las paredes interiores habían quedado barridas del mapa.
borrar | —¿Borrando del mapa la mitad de Unta? —soltó el marqués de repente—.
ascendiente | Liossercal, ascendiente, llamado hijo de la Luz, también conocido como Osserc, Osric
seguramente | seguramente bajo amenaza de maldecir a una familia
asaltar | Seguramente intentarán asaltarnos esta noche.
soñar | Soñó que la oscuridad que llenaba su visión lo asaltaba.
pradera | Fuera, aspiró hondo el aire caliente de la pradera.
increíble | Increíble, imposible, pero el hombre estaba luchando por levantarse.
remero | Y, por increíble que pareciera, la galera se jactaba de contar con cuatro filas de remeros.
armado | Marineros y remeros subieron a cubierta también, armados con algo.
tejar | no tendría centinelas en el tejado armados con arcos
impedir | —Sí, si cumplís vuestra parte e impedís que cruce.
invadir | —¿Qué va a impedirles invadirnos y rodearnos? —preguntó un oficial.
interesar | Se podría decir que me interesan las armas poco comunes.
millar | Dios del Millar de Humores, del Millar de Caras, del Millar de Nombres.
infantería | Entonces apareció la infantería imperial, que avanzaba a la carrera desde el frente.
elemento | Los elementos de cabeza de las infanterías malazana, taliana y falari se estaban desplegando.
atrapar | Joroba atrapó la pipa con los dientes.
alta | Los habían atraído hasta allí dentro y los habían atrapado entre altas murallas.
pasillo | Ante ellos, un largo pasillo que terminaba en otras dos puertas dobles mucho más altas.
portal | Unos pequeños portales se abrían a todo el pasillo.
patrón | —Patrón, o comandante… una especie de maestro también —explicó Jemain.
posición | —Podrías ordenarles reunirse en esta posición —sugirió Zarigüeya.
nómada | Todos formaron en posición de firmes, algunos habían cruzado desde el Nómada.
tipo | Barras volvió a rezongar: «Puñetera velocidad que tienen estos tipos, sean quienes sean».
arena | Malas Tierras y Fochas saltaron sobre las arenas apiladas con las armas sacadas.
harapo | El otro sujeto miró atrás, la cabeza envuelta en harapos, ladeada casi hasta rozar las arenas.
disculpar | Y por ello debo disculparme, emperatriz.
pirata | Esos piratas acabarían con ellos en cuanto posaran las armas
ingeniero | Lo único que produce esa isla son piratas, no ingenieros.
respetar | —Hace tiempo que se toma nota de vuestra falta de respeto… ingenieros.
incorporar | ¡Silencio! ¿Cómo se atrevía? Rillish luchó por incorporarse, él le enseñaría lo que era el respeto.
codo | Rillish se incorporó, se apoyó en los codos y les devolvió la mirada.
entumecer | Toc cambió de postura el codo entumecido, lo estiró e hizo una mueca de dolor.
constante | Estaba entumecida, no notaba nada salvo un dolor constante y molesto.
rumor | Las sacudidas continuaron, se cerraron como los rumores constantes de una tormenta al acercarse.
abanicar | Las hierbas se inclinaban, se estremecían como si hubiera un viento fuerte constante… ¡un abanico! Bala.
oído | Rumores del pasado oculto de la senda susurraban en sus oídos.
cámara | La cámara estaba en silencio salvo por el rumor lejano y profundo.
habitación | Cuando regresaron a las cámaras interiores, los guardias llenaban las habitaciones.
pasear | Ese amanecer, Arrojo se paseaba por el pasillo junto a la puerta de la habitación.
